DEMANDA,QUANTIDADE,DATA_SOLICITAÇÃO,PRAZO_DESEJADO,DATA_APROVAÇÃO,DATA_EMISSAO_NF,PREVISAO_ENTREGA,NUMERO_NF,FORNECEDOR,VALOR_TOTAL_COMPRA,VALOR_FRETE,CREDITO_ICMS,CNPJ_FATURADO,FORMA_PAGAMENTO,NUMERO_PARCELAS,VALOR_UNITARIO,UNIDADES,CATEGORIA_COMPRAS,CATEGORIA_MATERIAL_PCP
Percalux Azul Noturno 180g/m2 Bob 1400 mm,21,09/01/2024,03/01/2024,03/01/2024,09/01/2024,09/01/2024,13958,Jafi Decorações,367.5,0,0,Projeto,Cartão,1,17.5,METROS,Sintéticos,COURO
Papelao Kraft 625g/m2 800 x 1000 - Himasa,50,14/12/2023,29/11/2023,08/01/2024,16/01/2024,11/01/2024,AV677,Belo Plástico,483,0,0,Gomes,Cartão,6,9.66,FOLHAS,Papelão,PAPELAO
20378 WIRE-O - BOBINA PRETAUNICA-9/16,6,08/01/2024,04/12/2023,04/01/2024,05/01/2024,08/01/2024,197995,Lassane,2830.56,333.97,367.8,Flora,Boleto,3,471.76,CAIXAS,Wire-o,WIRE-O
Percalux Azul Noturno 180g/m2 Bob 1400 mm,30,03/01/2024,27/12/2023,27/12/2023,03/01/2023,03/01/2024,13933,Jafi Decorações,525,0,0,Projeto,Cartão,2,17.5,METROS,Sintéticos,COURO
Percalux Verde Petróleo 180g/m2 Bob 1400 mm,20,03/01/2024,27/12/2023,21/12/2023,03/01/2023,03/01/2024,13933,Jafi Decorações,350,0,0,Projeto,Cartão,2,17.5,METROS,Sintéticos,COURO
20378 WIRE-O - BOBINA PRETAUNICA-1,4,12/01/2024,03/01/2024,08/01/2024,09/01/2024,12/01/2024,198119,Lassane,1162.72,232.84,162.19,Elohim,Boleto,3,290.68,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-3/4,1,15/01/2024,04/01/2024,12/01/2024,15/01/2024,16/01/2024,198391,Lassane,345.93,55.7,45.19,Elohim,Boleto,3,345.93,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-5/8,1,15/01/2024,04/01/2024,12/01/2024,15/01/2024,16/01/2024,198391,Lassane,453.26,72.99,60.78,Elohim,Boleto,3,453.26,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-7/8,1,15/01/2024,04/01/2024,12/01/2024,15/01/2024,16/01/2024,198391,Lassane,323.33,52.06,44.05,Elohim,Boleto,3,323.33,CAIXAS,Wire-o,WIRE-O
20381 WIRE-O - BOBINA PRATAUNICA-7/8,1,15/01/2024,04/01/2024,12/01/2024,15/01/2024,16/01/2024,198391,Lassane,333.91,53.77,46.52,Elohim,Boleto,3,333.91,CAIXAS,Wire-o,WIRE-O
MP004 ILHOS Nº 54PRETO-U,10000,15/01/2024,04/01/2024,18/01/2024,23/01/2024,26/01/2024,2869,Parco Comércio e Serviços,245.9,0,44.26,Projeto,Boleto,3,0.02,UNIDADES,Aviamentos,ILHOS
Saco Adesivado 20x25 - Wire-o A5,10000,15/01/2024,04/01/2024,30/01/2024,31/01/2024,05/02/2024,189502,Interpel R4,1690,15,0,Projeto,Cartão,3,0.17,UNIDADES,Embalagens,SACO ADESIVADO
MP001 FITA DE CETIM Nº0 4MMAzul Royal - cód. 40-4MM,100,15/01/2024,05/01/2024,09/01/2024,12/01/2024,12/01/2024,85466,Castro e Castro,9.99,0,1.08,Projeto,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMAzul Turquesa - Cód. 47 Kit-4MM,200,15/01/2024,05/01/2024,09/01/2024,12/01/2024,12/01/2024,85466,Castro e Castro,19.98,0,2.16,Projeto,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMMarrom - cód. 32-7MM,100,15/01/2024,05/01/2024,09/01/2024,12/01/2024,12/01/2024,85466,Castro e Castro,9.99,0,1.08,Projeto,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMVerde Musgo - cód. 108 Kit-7MM,100,15/01/2024,05/01/2024,09/01/2024,12/01/2024,12/01/2024,85466,Castro e Castro,9.99,0,1.08,Projeto,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP003 ELASTICO Nº 12Dourado - São José-U,950,15/01/2024,05/01/2024,10/01/2024,11/01/2024,17/01/2024,984934,DSJ Londrina,721.24,16.35,88.51,Gomes,Cartão,3,0.76,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Vinho - Monitex-U,200,15/01/2024,05/01/2024,09/01/2024,12/01/2024,12/01/2024,85466,Castro e Castro,128.8,0,8.62,Projeto,Boleto,3,0.64,METROS,Aviamentos,ELASTICO
Papelao 1250 g/m2 1.5mm - 800 x 1000,1500,01/02/2024,08/01/2024,09/01/2024,05/02/2024,14/02/2024,36185,Papelão União,6637.08,506.47,775.95,Flora,Boleto,4,4.42,FOLHAS,Papelão,PAPELAO
Papelao 1250 g/m2 1.9mm - 700 x 1100 H25,6000,01/02/2024,08/01/2024,09/01/2024,05/02/2024,14/02/2024,36185,Papelão União,31881.45,2432.84,3976.72,Flora,Boleto,4,5.31,FOLHAS,Papelão,PAPELAO
